,LOCATION,TIME,Value,MEASURE
0,AUS,1950,0.892857,NATUSD
1,AUS,1951,0.892857,NATUSD
2,AUS,1952,0.892857,NATUSD
3,AUS,1953,0.892857,NATUSD
4,AUS,1954,0.892857,NATUSD
5,AUS,1955,0.892857,NATUSD
6,AUS,1956,0.892857,NATUSD
7,AUS,1957,0.892857,NATUSD
8,AUS,1958,0.892857,NATUSD
9,AUS,1959,0.892857,NATUSD
10,AUS,1960,0.892857,NATUSD
11,AUS,1961,0.892857,NATUSD
12,AUS,1962,0.892857,NATUSD
13,AUS,1963,0.892857,NATUSD
14,AUS,1964,0.892857,NATUSD
15,AUS,1965,0.892857,NATUSD
16,AUS,1966,0.892857,NATUSD
17,AUS,1967,0.892857,NATUSD
18,AUS,1968,0.892857,NATUSD
19,AUS,1969,0.892857,NATUSD
20,AUS,1970,0.892857,NATUSD
21,AUS,1971,0.8826700000000001,NATUSD
22,AUS,1972,0.8386979999999999,NATUSD
23,AUS,1973,0.704114,NATUSD
24,AUS,1974,0.696666,NATUSD
25,AUS,1975,0.763871,NATUSD
26,AUS,1976,0.818284,NATUSD
27,AUS,1977,0.901825,NATUSD
28,AUS,1978,0.873659,NATUSD
29,AUS,1979,0.894641,NATUSD
30,AUS,1980,0.878244,NATUSD
31,AUS,1981,0.870215,NATUSD
32,AUS,1982,0.9858629999999999,NATUSD
33,AUS,1983,1.110015,NATUSD
34,AUS,1984,1.139519,NATUSD
35,AUS,1985,1.4318950000000001,NATUSD
36,AUS,1986,1.495974,NATUSD
37,AUS,1987,1.42818,NATUSD
38,AUS,1988,1.279908,NATUSD
39,AUS,1989,1.264597,NATUSD
40,AUS,1990,1.281057,NATUSD
41,AUS,1991,1.283756,NATUSD
42,AUS,1992,1.361648,NATUSD
43,AUS,1993,1.47056,NATUSD
44,AUS,1994,1.367751,NATUSD
45,AUS,1995,1.349033,NATUSD
46,AUS,1996,1.277863,NATUSD
47,AUS,1997,1.34738,NATUSD
48,AUS,1998,1.591828,NATUSD
49,AUS,1999,1.54995,NATUSD
50,AUS,2000,1.724827,NATUSD
51,AUS,2001,1.933443,NATUSD
52,AUS,2002,1.8405630000000002,NATUSD
53,AUS,2003,1.541914,NATUSD
54,AUS,2004,1.359752,NATUSD
55,AUS,2005,1.3094729999999999,NATUSD
56,AUS,2006,1.3279729999999998,NATUSD
57,AUS,2007,1.195073,NATUSD
58,AUS,2008,1.192178,NATUSD
59,AUS,2009,1.282189,NATUSD
60,AUS,2010,1.090159,NATUSD
61,AUS,2011,0.969463,NATUSD
62,AUS,2012,0.965801,NATUSD
63,AUS,2013,1.035843,NATUSD
64,AUS,2014,1.1093629999999999,NATUSD
65,AUS,2015,1.3310899999999999,NATUSD
66,AUS,2016,1.345214,NATUSD
67,AUS,2017,1.304758,NATUSD
68,AUT,1950,1.453166,NATUSD
69,AUT,1951,1.5521459999999998,NATUSD
70,AUT,1952,1.5521459999999998,NATUSD
71,AUT,1953,1.7742349999999998,NATUSD
72,AUT,1954,1.8894939999999998,NATUSD
73,AUT,1955,1.8894939999999998,NATUSD
74,AUT,1956,1.8894939999999998,NATUSD
75,AUT,1957,1.8894939999999998,NATUSD
76,AUT,1958,1.8894939999999998,NATUSD
77,AUT,1959,1.8894939999999998,NATUSD
78,AUT,1960,1.8894939999999998,NATUSD
79,AUT,1961,1.8894939999999998,NATUSD
80,AUT,1962,1.8894939999999998,NATUSD
81,AUT,1963,1.8894939999999998,NATUSD
82,AUT,1964,1.8894939999999998,NATUSD
83,AUT,1965,1.8894939999999998,NATUSD
84,AUT,1966,1.8894939999999998,NATUSD
85,AUT,1967,1.8894939999999998,NATUSD
86,AUT,1968,1.8894939999999998,NATUSD
87,AUT,1969,1.8894939999999998,NATUSD
88,AUT,1970,1.8894939999999998,NATUSD
89,AUT,1971,1.8157729999999999,NATUSD
90,AUT,1972,1.679857,NATUSD
91,AUT,1973,1.422934,NATUSD
92,AUT,1974,1.3584370000000001,NATUSD
93,AUT,1975,1.265725,NATUSD
94,AUT,1976,1.303726,NATUSD
95,AUT,1977,1.201058,NATUSD
96,AUT,1978,1.055331,NATUSD
97,AUT,1979,0.971454,NATUSD
98,AUT,1980,0.940241,NATUSD
99,AUT,1981,1.157448,NATUSD
100,AUT,1982,1.239744,NATUSD
101,AUT,1983,1.3054459999999999,NATUSD
102,AUT,1984,1.454117,NATUSD
103,AUT,1985,1.503565,NATUSD
104,AUT,1986,1.1095059999999999,NATUSD
105,AUT,1987,0.918766,NATUSD
106,AUT,1988,0.8973399999999999,NATUSD
107,AUT,1989,0.9615100000000001,NATUSD
108,AUT,1990,0.8262780000000001,NATUSD
109,AUT,1991,0.8485219999999999,NATUSD
110,AUT,1992,0.7986260000000001,NATUSD
111,AUT,1993,0.8453440000000001,NATUSD
112,AUT,1994,0.8300559999999999,NATUSD
113,AUT,1995,0.732651,NATUSD
114,AUT,1996,0.769355,NATUSD
115,AUT,1997,0.886917,NATUSD
116,AUT,1998,0.8996219999999999,NATUSD
117,AUT,1999,0.938627,NATUSD
118,AUT,2000,1.085401,NATUSD
119,AUT,2001,1.11751,NATUSD
120,AUT,2002,1.062552,NATUSD
121,AUT,2003,0.886034,NATUSD
122,AUT,2004,0.805365,NATUSD
123,AUT,2005,0.80412,NATUSD
124,AUT,2006,0.797141,NATUSD
125,AUT,2007,0.730638,NATUSD
126,AUT,2008,0.682675,NATUSD
127,AUT,2009,0.719843,NATUSD
128,AUT,2010,0.755045,NATUSD
129,AUT,2011,0.719355,NATUSD
130,AUT,2012,0.7782939999999999,NATUSD
131,AUT,2013,0.753159,NATUSD
132,AUT,2014,0.753731,NATUSD
133,AUT,2015,0.901659,NATUSD
134,AUT,2016,0.904035,NATUSD
135,AUT,2017,0.8873969999999999,NATUSD
136,BEL,1950,1.239468,NATUSD
137,BEL,1951,1.239468,NATUSD
138,BEL,1952,1.239468,NATUSD
139,BEL,1953,1.239468,NATUSD
140,BEL,1954,1.239468,NATUSD
141,BEL,1955,1.239468,NATUSD
142,BEL,1956,1.239468,NATUSD
143,BEL,1957,1.239468,NATUSD
144,BEL,1958,1.239468,NATUSD
145,BEL,1959,1.239468,NATUSD
146,BEL,1960,1.239468,NATUSD
147,BEL,1961,1.239468,NATUSD
148,BEL,1962,1.239468,NATUSD
149,BEL,1963,1.239468,NATUSD
150,BEL,1964,1.239468,NATUSD
151,BEL,1965,1.239468,NATUSD
152,BEL,1966,1.239468,NATUSD
153,BEL,1967,1.239468,NATUSD
154,BEL,1968,1.239468,NATUSD
155,BEL,1969,1.239468,NATUSD
156,BEL,1970,1.239468,NATUSD
157,BEL,1971,1.216091,NATUSD
158,BEL,1972,1.091093,NATUSD
159,BEL,1973,0.966202,NATUSD
160,BEL,1974,0.9655819999999999,NATUSD
161,BEL,1975,0.911726,NATUSD
162,BEL,1976,0.956997,NATUSD
163,BEL,1977,0.8885190000000001,NATUSD
164,BEL,1978,0.780668,NATUSD
165,BEL,1979,0.726791,NATUSD
166,BEL,1980,0.724882,NATUSD
167,BEL,1981,0.9204100000000001,NATUSD
168,BEL,1982,1.1326399999999999,NATUSD
169,BEL,1983,1.267521,NATUSD
170,BEL,1984,1.432426,NATUSD
171,BEL,1985,1.471942,NATUSD
172,BEL,1986,1.1073879999999998,NATUSD
173,BEL,1987,0.9254879999999999,NATUSD
174,BEL,1988,0.9114629999999999,NATUSD
175,BEL,1989,0.9768,NATUSD
176,BEL,1990,0.8284090000000001,NATUSD
177,BEL,1991,0.846513,NATUSD
178,BEL,1992,0.7969649999999999,NATUSD
179,BEL,1993,0.857625,NATUSD
180,BEL,1994,0.829365,NATUSD
181,BEL,1995,0.730791,NATUSD
182,BEL,1996,0.767516,NATUSD
183,BEL,1997,0.886812,NATUSD
184,BEL,1998,0.8998200000000001,NATUSD
185,BEL,1999,0.938627,NATUSD
186,BEL,2000,1.085401,NATUSD
187,BEL,2001,1.11751,NATUSD
188,BEL,2002,1.062552,NATUSD
189,BEL,2003,0.886034,NATUSD
190,BEL,2004,0.805365,NATUSD
191,BEL,2005,0.80412,NATUSD
192,BEL,2006,0.797141,NATUSD
193,BEL,2007,0.730638,NATUSD
194,BEL,2008,0.682675,NATUSD
195,BEL,2009,0.719843,NATUSD
196,BEL,2010,0.755045,NATUSD
197,BEL,2011,0.719355,NATUSD
198,BEL,2012,0.7782939999999999,NATUSD
199,BEL,2013,0.753159,NATUSD
200,BEL,2014,0.753731,NATUSD
201,BEL,2015,0.901659,NATUSD
202,BEL,2016,0.904035,NATUSD
203,BEL,2017,0.8873969999999999,NATUSD
204,CAN,1950,1.089,NATUSD
205,CAN,1951,1.053,NATUSD
206,CAN,1952,0.9790000000000001,NATUSD
207,CAN,1953,0.983,NATUSD
208,CAN,1954,0.973,NATUSD
209,CAN,1955,0.986,NATUSD
210,CAN,1956,0.9840000000000001,NATUSD
211,CAN,1957,0.95885,NATUSD
212,CAN,1958,0.970608,NATUSD
213,CAN,1959,0.959117,NATUSD
214,CAN,1960,0.969783,NATUSD
215,CAN,1961,1.013067,NATUSD
216,CAN,1962,1.068767,NATUSD
217,CAN,1963,1.078508,NATUSD
218,CAN,1964,1.078608,NATUSD
219,CAN,1965,1.077983,NATUSD
220,CAN,1966,1.077317,NATUSD
221,CAN,1967,1.078708,NATUSD
222,CAN,1968,1.077475,NATUSD
223,CAN,1969,1.076775,NATUSD
224,CAN,1970,1.044915,NATUSD
225,CAN,1971,1.009792,NATUSD
226,CAN,1972,0.989933,NATUSD
227,CAN,1973,1.000083,NATUSD
228,CAN,1974,0.978033,NATUSD
229,CAN,1975,1.017158,NATUSD
230,CAN,1976,0.986025,NATUSD
231,CAN,1977,1.06345,NATUSD
232,CAN,1978,1.140675,NATUSD
233,CAN,1979,1.171425,NATUSD
234,CAN,1980,1.169217,NATUSD
235,CAN,1981,1.198908,NATUSD
236,CAN,1982,1.233733,NATUSD
237,CAN,1983,1.232417,NATUSD
238,CAN,1984,1.295067,NATUSD
239,CAN,1985,1.365483,NATUSD
240,CAN,1986,1.3895,NATUSD
241,CAN,1987,1.325992,NATUSD
242,CAN,1988,1.230708,NATUSD
243,CAN,1989,1.183992,NATUSD
244,CAN,1990,1.166775,NATUSD
245,CAN,1991,1.145717,NATUSD
246,CAN,1992,1.208725,NATUSD
247,CAN,1993,1.290074,NATUSD
248,CAN,1994,1.365638,NATUSD
249,CAN,1995,1.372441,NATUSD
250,CAN,1996,1.3634680000000001,NATUSD
251,CAN,1997,1.384617,NATUSD
252,CAN,1998,1.483463,NATUSD
253,CAN,1999,1.485732,NATUSD
254,CAN,2000,1.48511,NATUSD
255,CAN,2001,1.548761,NATUSD
256,CAN,2002,1.569318,NATUSD
257,CAN,2003,1.401052,NATUSD
258,CAN,2004,1.3010190000000001,NATUSD
259,CAN,2005,1.211763,NATUSD
260,CAN,2006,1.134363,NATUSD
261,CAN,2007,1.074099,NATUSD
262,CAN,2008,1.06704,NATUSD
263,CAN,2009,1.143101,NATUSD
264,CAN,2010,1.030163,NATUSD
265,CAN,2011,0.9895309999999999,NATUSD
266,CAN,2012,0.999188,NATUSD
267,CAN,2013,1.0297969999999999,NATUSD
268,CAN,2014,1.106105,NATUSD
269,CAN,2015,1.2790979999999998,NATUSD
270,CAN,2016,1.3254,NATUSD
271,CAN,2017,1.2977370000000001,NATUSD
272,CZE,1990,21.145,NATUSD
273,CZE,1991,27.92,NATUSD
274,CZE,1992,28.37,NATUSD
275,CZE,1993,29.152833,NATUSD
276,CZE,1994,28.785083,NATUSD
277,CZE,1995,26.540667,NATUSD
278,CZE,1996,27.144917,NATUSD
279,CZE,1997,31.698417,NATUSD
280,CZE,1998,32.281166999999996,NATUSD
281,CZE,1999,34.56925,NATUSD
282,CZE,2000,38.598417,NATUSD
283,CZE,2001,38.035328,NATUSD
284,CZE,2002,32.738518,NATUSD
285,CZE,2003,28.209,NATUSD
286,CZE,2004,25.69975,NATUSD
287,CZE,2005,23.957417,NATUSD
288,CZE,2006,22.595582999999998,NATUSD
289,CZE,2007,20.293667000000003,NATUSD
290,CZE,2008,17.071667,NATUSD
291,CZE,2009,19.063,NATUSD
292,CZE,2010,19.09825,NATUSD
293,CZE,2011,17.695917,NATUSD
294,CZE,2012,19.5775,NATUSD
295,CZE,2013,19.570583,NATUSD
296,CZE,2014,20.7575,NATUSD
297,CZE,2015,24.59875,NATUSD
298,CZE,2016,24.439917,NATUSD
299,CZE,2017,23.376333,NATUSD
300,DNK,1950,6.907139999999999,NATUSD
301,DNK,1951,6.907139999999999,NATUSD
302,DNK,1952,6.907139999999999,NATUSD
303,DNK,1953,6.907139999999999,NATUSD
304,DNK,1954,6.907139999999999,NATUSD
305,DNK,1955,6.907139999999999,NATUSD
306,DNK,1956,6.907139999999999,NATUSD
307,DNK,1957,6.907139999999999,NATUSD
308,DNK,1958,6.907139999999999,NATUSD
309,DNK,1959,6.907139999999999,NATUSD
310,DNK,1960,6.907139999999999,NATUSD
311,DNK,1961,6.907139999999999,NATUSD
312,DNK,1962,6.907139999999999,NATUSD
313,DNK,1963,6.907139999999999,NATUSD
314,DNK,1964,6.907139999999999,NATUSD
315,DNK,1965,6.907139999999999,NATUSD
316,DNK,1966,6.907139999999999,NATUSD
317,DNK,1967,6.956542,NATUSD
318,DNK,1968,7.5,NATUSD
319,DNK,1969,7.5,NATUSD
320,DNK,1970,7.5,NATUSD
321,DNK,1971,7.426338,NATUSD
322,DNK,1972,6.949292,NATUSD
323,DNK,1973,6.0495,NATUSD
324,DNK,1974,6.0949,NATUSD
325,DNK,1975,5.74615,NATUSD
326,DNK,1976,6.045025,NATUSD
327,DNK,1977,6.003191999999999,NATUSD
328,DNK,1978,5.514625,NATUSD
329,DNK,1979,5.2609580000000005,NATUSD
330,DNK,1980,5.635942,NATUSD
331,DNK,1981,7.123367,NATUSD
332,DNK,1982,8.332442,NATUSD
333,DNK,1983,9.144992,NATUSD
334,DNK,1984,10.356592,NATUSD
335,DNK,1985,10.596392,NATUSD
336,DNK,1986,8.090992,NATUSD
337,DNK,1987,6.840317,NATUSD
338,DNK,1988,6.731525,NATUSD
339,DNK,1989,7.310175,NATUSD
340,DNK,1990,6.1885580000000004,NATUSD
341,DNK,1991,6.396458,NATUSD
342,DNK,1992,6.036133,NATUSD
343,DNK,1993,6.483939,NATUSD
344,DNK,1994,6.360551999999999,NATUSD
345,DNK,1995,5.602367,NATUSD
346,DNK,1996,5.798672,NATUSD
347,DNK,1997,6.604458999999999,NATUSD
348,DNK,1998,6.700827,NATUSD
349,DNK,1999,6.97624,NATUSD
350,DNK,2000,8.083144,NATUSD
351,DNK,2001,8.322817,NATUSD
352,DNK,2002,7.894714,NATUSD
353,DNK,2003,6.587673,NATUSD
354,DNK,2004,5.991057,NATUSD
355,DNK,2005,5.99691,NATUSD
356,DNK,2006,5.946778,NATUSD
357,DNK,2007,5.443701,NATUSD
358,DNK,2008,5.0981309999999995,NATUSD
359,DNK,2009,5.360867,NATUSD
360,DNK,2010,5.624075,NATUSD
361,DNK,2011,5.368712,NATUSD
362,DNK,2012,5.792476000000001,NATUSD
363,DNK,2013,5.616312000000001,NATUSD
364,DNK,2014,5.612467,NATUSD
365,DNK,2015,6.727907000000001,NATUSD
366,DNK,2016,6.731717999999999,NATUSD
367,DNK,2017,6.602892999999999,NATUSD
368,FIN,1950,0.38851399999999997,NATUSD
369,FIN,1951,0.386832,NATUSD
370,FIN,1952,0.386832,NATUSD
371,FIN,1953,0.386832,NATUSD
372,FIN,1954,0.386832,NATUSD
373,FIN,1955,0.386832,NATUSD
374,FIN,1956,0.386832,NATUSD
375,FIN,1957,0.424675,NATUSD
376,FIN,1958,0.538201,NATUSD
377,FIN,1959,0.538201,NATUSD
378,FIN,1960,0.538201,NATUSD
379,FIN,1961,0.538201,NATUSD
380,FIN,1962,0.538201,NATUSD
381,FIN,1963,0.538201,NATUSD
382,FIN,1964,0.538201,NATUSD
383,FIN,1965,0.538201,NATUSD
384,FIN,1966,0.538201,NATUSD
385,FIN,1967,0.5802470000000001,NATUSD
386,FIN,1968,0.706384,NATUSD
387,FIN,1969,0.706384,NATUSD
388,FIN,1970,0.706384,NATUSD
389,FIN,1971,0.703769,NATUSD
390,FIN,1972,0.6973630000000001,NATUSD
391,FIN,1973,0.642674,NATUSD
392,FIN,1974,0.634699,NATUSD
393,FIN,1975,0.618707,NATUSD
394,FIN,1976,0.649948,NATUSD
395,FIN,1977,0.6776989999999999,NATUSD
396,FIN,1978,0.6924859999999999,NATUSD
397,FIN,1979,0.655148,NATUSD
398,FIN,1980,0.627355,NATUSD
399,FIN,1981,0.725773,NATUSD
400,FIN,1982,0.810736,NATUSD
401,FIN,1983,0.9368209999999999,NATUSD
402,FIN,1984,1.010809,NATUSD
403,FIN,1985,1.042411,NATUSD
404,FIN,1986,0.852632,NATUSD
405,FIN,1987,0.7392810000000001,NATUSD
406,FIN,1988,0.7035020000000001,NATUSD
407,FIN,1989,0.721731,NATUSD
408,FIN,1990,0.643067,NATUSD
409,FIN,1991,0.680148,NATUSD
410,FIN,1992,0.7533880000000001,NATUSD
411,FIN,1993,0.9607379999999999,NATUSD
412,FIN,1994,0.878532,NATUSD
413,FIN,1995,0.734421,NATUSD
414,FIN,1996,0.77258,NATUSD
415,FIN,1997,0.873137,NATUSD
416,FIN,1998,0.898807,NATUSD
417,FIN,1999,0.938627,NATUSD
418,FIN,2000,1.085401,NATUSD
419,FIN,2001,1.11751,NATUSD
420,FIN,2002,1.062552,NATUSD
421,FIN,2003,0.886034,NATUSD
422,FIN,2004,0.805365,NATUSD
423,FIN,2005,0.80412,NATUSD
424,FIN,2006,0.797141,NATUSD
425,FIN,2007,0.730638,NATUSD
426,FIN,2008,0.682675,NATUSD
427,FIN,2009,0.719843,NATUSD
428,FIN,2010,0.755045,NATUSD
429,FIN,2011,0.719355,NATUSD
430,FIN,2012,0.7782939999999999,NATUSD
431,FIN,2013,0.753159,NATUSD
432,FIN,2014,0.753731,NATUSD
433,FIN,2015,0.901659,NATUSD
434,FIN,2016,0.904035,NATUSD
435,FIN,2017,0.8873969999999999,NATUSD
436,FRA,1950,0.533084,NATUSD
437,FRA,1951,0.533511,NATUSD
438,FRA,1952,0.5335260000000001,NATUSD
439,FRA,1953,0.533511,NATUSD
440,FRA,1954,0.5335260000000001,NATUSD
441,FRA,1955,0.5335260000000001,NATUSD
442,FRA,1956,0.533251,NATUSD
443,FRA,1957,0.551318,NATUSD
444,FRA,1958,0.639863,NATUSD
445,FRA,1959,0.75265,NATUSD
446,FRA,1960,0.75265,NATUSD
447,FRA,1961,0.75265,NATUSD
448,FRA,1962,0.75265,NATUSD
449,FRA,1963,0.75265,NATUSD
450,FRA,1964,0.75265,NATUSD
451,FRA,1965,0.75265,NATUSD
452,FRA,1966,0.75265,NATUSD
453,FRA,1967,0.75265,NATUSD
454,FRA,1968,0.75265,NATUSD
455,FRA,1969,0.79185,NATUSD
456,FRA,1970,0.8467309999999999,NATUSD
457,FRA,1971,0.844659,NATUSD
458,FRA,1972,0.7690359999999999,NATUSD
459,FRA,1973,0.678822,NATUSD
460,FRA,1974,0.733222,NATUSD
461,FRA,1975,0.653671,NATUSD
462,FRA,1976,0.732194,NATUSD
463,FRA,1977,0.747789,NATUSD
464,FRA,1978,0.688018,NATUSD
465,FRA,1979,0.648582,NATUSD
466,FRA,1980,0.644185,NATUSD
467,FRA,1981,0.828501,NATUSD
468,FRA,1982,1.00191,NATUSD
469,FRA,1983,1.161858,NATUSD
470,FRA,1984,1.332267,NATUSD
471,FRA,1985,1.369789,NATUSD
472,FRA,1986,1.055876,NATUSD
473,FRA,1987,0.916327,NATUSD
474,FRA,1988,0.9081299999999999,NATUSD
475,FRA,1989,0.9726459999999999,NATUSD
476,FRA,1990,0.8301270000000001,NATUSD
477,FRA,1991,0.860135,NATUSD
478,FRA,1992,0.807037,NATUSD
479,FRA,1993,0.8633540000000001,NATUSD
480,FRA,1994,0.846404,NATUSD
481,FRA,1995,0.760947,NATUSD
482,FRA,1996,0.779856,NATUSD
483,FRA,1997,0.889798,NATUSD
484,FRA,1998,0.899375,NATUSD
485,FRA,1999,0.938627,NATUSD
486,FRA,2000,1.085401,NATUSD
487,FRA,2001,1.11751,NATUSD
488,FRA,2002,1.062552,NATUSD
489,FRA,2003,0.886034,NATUSD
490,FRA,2004,0.805365,NATUSD
491,FRA,2005,0.80412,NATUSD
492,FRA,2006,0.797141,NATUSD
493,FRA,2007,0.730638,NATUSD
494,FRA,2008,0.682675,NATUSD
495,FRA,2009,0.719843,NATUSD
496,FRA,2010,0.755045,NATUSD
497,FRA,2011,0.719355,NATUSD
498,FRA,2012,0.7782939999999999,NATUSD
499,FRA,2013,0.753159,NATUSD
500,FRA,2014,0.753731,NATUSD
501,FRA,2015,0.901659,NATUSD
502,FRA,2016,0.904035,NATUSD
503,FRA,2017,0.8873969999999999,NATUSD
504,DEU,1950,2.144861,NATUSD
505,DEU,1951,2.144861,NATUSD
506,DEU,1952,2.144861,NATUSD
507,DEU,1953,2.147426,NATUSD
508,DEU,1954,2.147426,NATUSD
509,DEU,1955,2.147426,NATUSD
510,DEU,1956,2.147426,NATUSD
511,DEU,1957,2.147426,NATUSD
512,DEU,1958,2.147426,NATUSD
513,DEU,1959,2.147426,NATUSD
514,DEU,1960,2.147426,NATUSD
515,DEU,1961,2.062211,NATUSD
516,DEU,1962,2.045168,NATUSD
517,DEU,1963,2.045168,NATUSD
518,DEU,1964,2.045168,NATUSD
519,DEU,1965,2.045168,NATUSD
520,DEU,1966,2.045168,NATUSD
521,DEU,1967,2.045168,NATUSD
522,DEU,1968,2.045168,NATUSD
523,DEU,1969,2.016194,NATUSD
524,DEU,1970,1.8713279999999999,NATUSD
525,DEU,1971,1.793302,NATUSD
526,DEU,1972,1.630327,NATUSD
527,DEU,1973,1.366479,NATUSD
528,DEU,1974,1.3230959999999998,NATUSD
529,DEU,1975,1.257927,NATUSD
530,DEU,1976,1.287433,NATUSD
531,DEU,1977,1.1873129999999998,NATUSD
532,DEU,1978,1.026994,NATUSD
533,DEU,1979,0.9371379999999999,NATUSD
534,DEU,1980,0.929358,NATUSD
535,DEU,1981,1.15552,NATUSD
536,DEU,1982,1.240697,NATUSD
537,DEU,1983,1.30546,NATUSD
538,DEU,1984,1.455107,NATUSD
539,DEU,1985,1.505226,NATUSD
540,DEU,1986,1.110262,NATUSD
541,DEU,1987,0.918992,NATUSD
542,DEU,1988,0.8979440000000001,NATUSD
543,DEU,1989,0.96125,NATUSD
544,DEU,1990,0.826111,NATUSD
545,DEU,1991,0.84851,NATUSD
546,DEU,1992,0.798459,NATUSD
547,DEU,1993,0.8453299999999999,NATUSD
548,DEU,1994,0.8297209999999999,NATUSD
549,DEU,1995,0.732749,NATUSD
550,DEU,1996,0.769379,NATUSD
551,DEU,1997,0.886609,NATUSD
552,DEU,1998,0.8997040000000001,NATUSD
553,DEU,1999,0.938627,NATUSD
554,DEU,2000,1.085401,NATUSD
555,DEU,2001,1.11751,NATUSD
556,DEU,2002,1.062552,NATUSD
557,DEU,2003,0.886034,NATUSD
558,DEU,2004,0.805365,NATUSD
559,DEU,2005,0.80412,NATUSD
560,DEU,2006,0.797141,NATUSD
561,DEU,2007,0.730638,NATUSD
562,DEU,2008,0.682675,NATUSD
563,DEU,2009,0.719843,NATUSD
564,DEU,2010,0.755045,NATUSD
565,DEU,2011,0.719355,NATUSD
566,DEU,2012,0.7782939999999999,NATUSD
567,DEU,2013,0.753159,NATUSD
568,DEU,2014,0.753731,NATUSD
569,DEU,2015,0.901659,NATUSD
570,DEU,2016,0.904035,NATUSD
571,DEU,2017,0.8873969999999999,NATUSD
572,GRC,1950,0.04402,NATUSD
573,GRC,1951,0.04402,NATUSD
574,GRC,1952,0.04402,NATUSD
575,GRC,1953,0.0773,NATUSD
576,GRC,1954,0.088042,NATUSD
577,GRC,1955,0.088042,NATUSD
578,GRC,1956,0.088042,NATUSD
579,GRC,1957,0.088042,NATUSD
580,GRC,1958,0.088042,NATUSD
581,GRC,1959,0.088042,NATUSD
582,GRC,1960,0.088042,NATUSD
583,GRC,1961,0.088041,NATUSD
584,GRC,1962,0.088041,NATUSD
585,GRC,1963,0.088041,NATUSD
586,GRC,1964,0.088041,NATUSD
587,GRC,1965,0.088041,NATUSD
588,GRC,1966,0.088041,NATUSD
589,GRC,1967,0.088041,NATUSD
590,GRC,1968,0.088041,NATUSD
591,GRC,1969,0.088041,NATUSD
592,GRC,1970,0.088041,NATUSD
593,GRC,1971,0.088041,NATUSD
594,GRC,1972,0.088042,NATUSD
595,GRC,1973,0.08694099999999999,NATUSD
596,GRC,1974,0.088042,NATUSD
597,GRC,1975,0.094061,NATUSD
598,GRC,1976,0.10716800000000001,NATUSD
599,GRC,1977,0.10811,NATUSD
600,GRC,1978,0.10783699999999999,NATUSD
601,GRC,1979,0.108697,NATUSD
602,GRC,1980,0.125067,NATUSD
603,GRC,1981,0.162607,NATUSD
604,GRC,1982,0.196047,NATUSD
605,GRC,1983,0.258442,NATUSD
606,GRC,1984,0.33079000000000003,NATUSD
607,GRC,1985,0.40533800000000003,NATUSD
608,GRC,1986,0.410803,NATUSD
609,GRC,1987,0.397445,NATUSD
610,GRC,1988,0.416318,NATUSD
611,GRC,1989,0.47664399999999996,NATUSD
612,GRC,1990,0.46519099999999997,NATUSD
613,GRC,1991,0.534898,NATUSD
614,GRC,1992,0.559426,NATUSD
615,GRC,1993,0.67278,NATUSD
616,GRC,1994,0.711967,NATUSD
617,GRC,1995,0.6798609999999999,NATUSD
618,GRC,1996,0.706417,NATUSD
619,GRC,1997,0.801344,NATUSD
620,GRC,1998,0.86729,NATUSD
621,GRC,1999,0.896982,NATUSD
622,GRC,2000,1.072336,NATUSD
623,GRC,2001,1.11751,NATUSD
624,GRC,2002,1.062552,NATUSD
625,GRC,2003,0.886034,NATUSD
626,GRC,2004,0.805365,NATUSD
627,GRC,2005,0.80412,NATUSD
628,GRC,2006,0.797141,NATUSD
629,GRC,2007,0.730638,NATUSD
630,GRC,2008,0.682675,NATUSD
631,GRC,2009,0.719843,NATUSD
632,GRC,2010,0.755045,NATUSD
633,GRC,2011,0.719355,NATUSD
634,GRC,2012,0.7782939999999999,NATUSD
635,GRC,2013,0.753159,NATUSD
636,GRC,2014,0.753731,NATUSD
637,GRC,2015,0.901659,NATUSD
638,GRC,2016,0.904035,NATUSD
639,GRC,2017,0.8873969999999999,NATUSD
640,HUN,1968,60.0,NATUSD
641,HUN,1969,60.0,NATUSD
642,HUN,1970,60.0,NATUSD
643,HUN,1971,59.821617,NATUSD
644,HUN,1972,55.26,NATUSD
645,HUN,1973,48.966225,NATUSD
646,HUN,1974,46.7524,NATUSD
647,HUN,1975,43.971383,NATUSD
648,HUN,1976,41.575267,NATUSD
649,HUN,1977,40.96075,NATUSD
650,HUN,1978,37.91135,NATUSD
651,HUN,1979,35.578,NATUSD
652,HUN,1980,32.532283,NATUSD
653,HUN,1981,34.314292,NATUSD
654,HUN,1982,36.63055,NATUSD
655,HUN,1983,42.67115,NATUSD
656,HUN,1984,48.042208,NATUSD
657,HUN,1985,50.1194,NATUSD
658,HUN,1986,45.83215,NATUSD
659,HUN,1987,46.970542,NATUSD
660,HUN,1988,50.413208000000004,NATUSD
661,HUN,1989,59.066342000000006,NATUSD
662,HUN,1990,63.205867000000005,NATUSD
663,HUN,1991,74.735383,NATUSD
664,HUN,1992,78.988392,NATUSD
665,HUN,1993,91.933183,NATUSD
666,HUN,1994,105.160458,NATUSD
667,HUN,1995,125.681425,NATUSD
668,HUN,1996,152.64666699999998,NATUSD
669,HUN,1997,186.789167,NATUSD
670,HUN,1998,214.401667,NATUSD
671,HUN,1999,237.145833,NATUSD
672,HUN,2000,282.179167,NATUSD
